StudentID,Name,TotalDays,DayPresent,DaysAbsent,Attendance(%),Term
1,John Doe,180,170,10,94.44,Midterm 1
2,Jane Smith,180,165,15,91.67,Midterm 1
3,Sam Brown,180,160,20,88.89,Midterm 1
4,Lisa Ray,180,175,5,97.22,Midterm 1
5,Tom White,180,155,25,86.11,Midterm 1
6,Emma Green,180,172,8,95.56,Midterm 1
7,Liam Blue,180,168,12,93.33,Midterm 1
8,Mia Black,180,163,17,90.56,Midterm 1
9,Noah Brown,180,178,2,98.89,Midterm 1
10,Ava White,180,157,23,87.22,Midterm 1
11,Ethan Gray,180,169,11,93.89,Midterm 1
12,Sophia Blue,180,173,7,96.11,Midterm 1
13,Mason Gray,180,174,6,96.67,Midterm 1
14,Isabella Black,180,164,16,91.11,Midterm 1
15,Jacob Green,180,179,1,99.44,Midterm 1
